"day","dau"
2025-07-02,3
2025-07-03,6
2025-07-04,5
2025-07-05,10
2025-07-06,5
2025-07-07,13
2025-07-08,22
2025-07-09,22
2025-07-10,26
2025-07-11,23
2025-07-12,24
2025-07-13,30
2025-07-14,32
2025-07-15,25
2025-07-16,34
2025-07-17,39
2025-07-18,22
2025-07-19,38
2025-07-20,34
2025-07-21,50
2025-07-22,43
2025-07-23,43
2025-07-24,53
2025-07-25,63
2025-07-26,48
2025-07-27,59
2025-07-28,59
2025-07-29,61
2025-07-30,64
2025-07-31,64
2025-08-01,52
2025-08-02,62
2025-08-03,55
2025-08-04,60
2025-08-05,52
2025-08-06,62
2025-08-07,59
2025-08-08,58
2025-08-09,53
2025-08-10,55
2025-08-11,65
2025-08-12,54
2025-08-13,74
2025-08-14,59
2025-08-15,54
2025-08-16,68
2025-08-17,59
2025-08-18,61
2025-08-19,58
2025-08-20,67
2025-08-21,62
2025-08-22,53
2025-08-23,60
2025-08-24,67
2025-08-25,67
2025-08-26,61
2025-08-27,63
2025-08-28,61
2025-08-29,54
2025-08-30,72
2025-08-31,54
2025-09-01,66
2025-09-02,61
2025-09-03,58
2025-09-04,64
2025-09-05,62
2025-09-06,46
2025-09-07,49
2025-09-08,59
2025-09-09,60
2025-09-10,53
2025-09-11,61
2025-09-12,58
2025-09-13,64
2025-09-14,65
2025-09-15,74
2025-09-16,58
2025-09-17,62
2025-09-18,69
2025-09-19,66
2025-09-20,67
2025-09-21,71
2025-09-22,67
2025-09-23,55
2025-09-24,58
2025-09-25,73
2025-09-26,58
2025-09-27,76
2025-09-28,62
2025-09-29,66
2025-09-30,59
2025-10-01,61
2025-10-02,52
2025-10-03,69
2025-10-04,70
2025-10-05,45
2025-10-06,77
2025-10-07,61
2025-10-08,56
2025-10-09,66
2025-10-10,51
2025-10-11,59
2025-10-12,65
2025-10-13,53
2025-10-14,72
2025-10-15,62
2025-10-16,62
2025-10-17,70
2025-10-18,62
2025-10-19,82
2025-10-20,52
2025-10-21,65
2025-10-22,64
2025-10-23,57
2025-10-24,58
2025-10-25,66
2025-10-26,60
2025-10-27,55
2025-10-28,65
2025-10-29,54
2025-10-30,66
2025-10-31,72
2025-11-01,58
2025-11-02,55
2025-11-03,56
2025-11-04,63
2025-11-05,69
2025-11-06,62
2025-11-07,60
2025-11-08,60
2025-11-09,60
2025-11-10,55
2025-11-11,62
2025-11-12,53
2025-11-13,54
2025-11-14,46
2025-11-15,55
2025-11-16,51
2025-11-17,58
2025-11-18,51
2025-11-19,40
2025-11-20,50
2025-11-21,34
2025-11-22,41
2025-11-23,39
2025-11-24,32
2025-11-25,32
2025-11-26,31
2025-11-27,35
2025-11-28,32
2025-11-29,23
2025-11-30,35
2025-12-01,32
2025-12-02,25
2025-12-03,19
2025-12-04,30
2025-12-05,23
2025-12-06,32
2025-12-07,35
2025-12-08,29
2025-12-09,36
2025-12-10,30
2025-12-11,25
2025-12-12,31
2025-12-13,34
2025-12-14,22
2025-12-15,26
2025-12-16,27
2025-12-17,28
2025-12-18,20
2025-12-19,32
2025-12-20,28
2025-12-21,28
2025-12-22,29
2025-12-23,36
2025-12-24,24
2025-12-25,33
2025-12-26,26
2025-12-27,24
2025-12-28,32
2025-12-29,29
2025-12-30,22
2025-12-31,37
2026-01-01,24
2026-01-02,35
2026-01-03,40
2026-01-04,46
2026-01-05,36
2026-01-06,46
2026-01-07,35
2026-01-08,53
2026-01-09,53
2026-01-10,52
2026-01-11,65
2026-01-12,52
2026-01-13,62
2026-01-14,77
2026-01-15,61
2026-01-16,70
2026-01-17,66
2026-01-18,73
2026-01-19,73
2026-01-20,80
2026-01-21,75
2026-01-22,90
2026-01-23,78
2026-01-24,90
2026-01-25,88
2026-01-26,83
2026-01-27,92
2026-01-28,99
2026-01-29,93
2026-01-30,115
2026-01-31,108
2026-02-01,112
2026-02-02,86
2026-02-03,98
2026-02-04,100
2026-02-05,95
2026-02-06,98
2026-02-07,90
2026-02-08,107
2026-02-09,101
2026-02-10,104
2026-02-11,98
2026-02-12,101
2026-02-13,94
2026-02-14,108
2026-02-15,103
2026-02-16,95
2026-02-17,107
2026-02-18,116
2026-02-19,109
2026-02-20,84
2026-02-21,98
2026-02-22,115
2026-02-23,95
2026-02-24,106
2026-02-25,118
2026-02-26,127
2026-02-27,104
2026-02-28,131
2026-03-01,130
2026-03-02,138
2026-03-03,167
2026-03-04,170
2026-03-05,165
2026-03-06,149
2026-03-07,151
2026-03-08,173
2026-03-09,150
2026-03-10,162
2026-03-11,175
2026-03-12,176
2026-03-13,180
2026-03-14,168
2026-03-15,185
2026-03-16,181
2026-03-17,172
2026-03-18,187
2026-03-19,218
2026-03-20,184
2026-03-21,194
2026-03-22,131
2026-03-23,176
2026-03-24,136
2026-03-25,153
2026-03-26,159
2026-03-27,143
2026-03-28,156
2026-03-29,151
2026-03-30,148
2026-03-31,184
2026-04-01,204
2026-04-02,215
2026-04-03,198
2026-04-04,199
2026-04-05,188
2026-04-06,197
2026-04-07,192
2026-04-08,200
2026-04-09,192
2026-04-10,172
2026-04-11,160
2026-04-12,168
2026-04-13,171
2026-04-14,154
2026-04-15,146
2026-04-16,166
2026-04-17,134
2026-04-18,149
2026-04-19,132
2026-04-20,131
2026-04-21,104
2026-04-22,105
2026-04-23,105
2026-04-24,90
2026-04-25,101
2026-04-26,92
2026-04-27,68
2026-04-28,75
2026-04-29,73
2026-04-30,71
