"week","wau"
2025-06-30,17
2025-07-07,76
2025-07-14,110
2025-07-21,157
2025-07-28,190
2025-08-04,183
2025-08-11,196
2025-08-18,202
2025-08-25,203
2025-09-01,188
2025-09-08,199
2025-09-15,218
2025-09-22,200
2025-09-29,211
2025-10-06,190
2025-10-13,215
2025-10-20,209
2025-10-27,214
2025-11-03,209
2025-11-10,199
2025-11-17,190
2025-11-24,168
2025-12-01,149
2025-12-08,147
2025-12-15,141
2025-12-22,145
2025-12-29,173
2026-01-05,208
2026-01-12,244
2026-01-19,285
2026-01-26,331
2026-02-02,337
2026-02-09,334
2026-02-16,362
2026-02-23,426
2026-03-02,684
2026-03-09,729
2026-03-16,773
2026-03-23,579
2026-03-30,697
2026-04-06,665
2026-04-13,584
2026-04-20,491
2026-04-27,252
