"mm","mau_in_lwau"
2025-07-01 00:00:00.000,26
2025-08-01 00:00:00.000,43
2025-09-01 00:00:00.000,41
2025-10-01 00:00:00.000,52
2025-11-01 00:00:00.000,54
2025-12-01 00:00:00.000,45
2026-01-01 00:00:00.000,61
2026-02-01 00:00:00.000,85
2026-03-01 00:00:00.000,189
2026-04-01 00:00:00.000,129
2025-07-01 00:00:00.000,26
2025-08-01 00:00:00.000,43
2025-09-01 00:00:00.000,41
2025-10-01 00:00:00.000,52
2025-11-01 00:00:00.000,54
2025-12-01 00:00:00.000,45
2026-01-01 00:00:00.000,61
2026-02-01 00:00:00.000,85
2026-03-01 00:00:00.000,189
2026-04-01 00:00:00.000,129
