"mm","asset_category","revenue"
2025-07-01,Economy,25860
2025-07-01,Fleet,18970
2025-07-01,Modules,1596
2025-07-01,Resources,29400
2025-07-01,Supplies,5018
2025-08-01,Economy,78340
2025-08-01,Fleet,23362
2025-08-01,Modules,1340
2025-08-01,Resources,23800
2025-08-01,Supplies,7522
2025-09-01,Economy,51160
2025-09-01,Fleet,10582
2025-09-01,Modules,2478
2025-09-01,Resources,43600
2025-09-01,Supplies,17020
2025-10-01,Economy,62560
2025-10-01,Fleet,19168
2025-10-01,Modules,798
2025-10-01,Resources,37600
2025-10-01,Supplies,12520
2025-11-01,Economy,49160
2025-11-01,Fleet,21564
2025-11-01,Modules,2814
2025-11-01,Resources,40800
2025-11-01,Supplies,16528
2025-12-01,Economy,53460
2025-12-01,Fleet,11382
2025-12-01,Modules,1218
2025-12-01,Resources,37600
2025-12-01,Supplies,8514
2026-01-01,Economy,98600
2026-01-01,Fleet,30748
2026-01-01,Modules,6128
2026-01-01,Resources,54000
2026-01-01,Supplies,16046
2026-02-01,Economy,90360
2026-02-01,Fleet,30748
2026-02-01,Modules,2516
2026-02-01,Resources,60400
2026-02-01,Supplies,17048
2026-03-01,Economy,212880
2026-03-01,Fleet,27156
2026-03-01,Modules,3180
2026-03-01,Resources,93000
2026-03-01,Supplies,40058
2026-04-01,Economy,79600
2026-04-01,Fleet,20562
2026-04-01,Modules,2058
2026-04-01,Resources,53000
2026-04-01,Supplies,5528
